#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     0.91, 3,   boost,   40.41,  97891.00,  289.86,  158.59,  135.27, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.92, 3,   boost,   39.19,  97882.00,  290.63,  159.36,  135.68, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.93, 3,   boost,   37.97,  97856.00,  292.85,  161.59,  136.07, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.94, 3,   boost,   36.74,  97836.00,  294.57,  163.30,  136.45, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.95, 3,   boost,   35.52,  97822.00,  295.77,  164.50,  136.82, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.96, 3,   boost,   34.29,  97806.00,  297.14,  165.87,  137.17, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.97, 3,   boost,   33.07,  97785.00,  298.94,  167.67,  137.51, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.98, 3,   boost,   31.85,  97766.00,  300.56,  169.30,  137.83, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.99, 3,   boost,   30.64,  97744.00,  302.45,  171.18,  138.14, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.00, 3,   boost,   29.43,  97744.00,  302.45,  171.18,  138.44, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.01, 3,   boost,   28.22,  97719.00,  304.59,  173.33,  138.72, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.02, 3,   boost,   27.02,  97691.00,  306.99,  175.73,  139.00, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.03, 3,   boost,   25.83,  97667.00,  309.05,  177.79,  139.25, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.04, 3,   boost,   24.64,  97652.00,  310.34,  179.07,  139.50, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.05, 3,   boost,   23.47,  97644.00,  311.02,  179.76,  139.73, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.06, 3,   boost,   22.30,  97629.00,  312.31,  181.04,  139.94, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.07, 3,   boost,   21.14,  97618.00,  313.25,  181.99,  140.15, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.08, 3,   boost,   19.99,  97601.00,  314.71,  183.45,  140.34, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.09, 3,   boost,   18.85,  97585.00,  316.08,  184.82,  140.52, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.10, 3,   boost,   17.73,  97564.00,  317.89,  186.62,  140.68, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.11, 3,   boost,   16.62,  97564.00,  317.89,  186.62,  140.84, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.12, 3,   boost,   15.52,  97530.00,  320.81,  189.54,  140.98, 23.7, 0.00, 0.00, 4.00
